epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,11722.8,0.60522,0.42493,0.00841,0.95805,0.93745,0.97676,0.86323,0.54669,0.36317,0.01089,0.000540037,0.000540037,0.000540037
43,11988.8,0.61733,0.42092,0.00849,0.95968,0.94366,0.97758,0.85849,0.57292,0.35373,0.01164,0.000531038,0.000531038,0.000531038
44,12252.3,0.61124,0.44768,0.00861,0.96031,0.95704,0.98307,0.87319,0.54522,0.31189,0.01103,0.000522039,0.000522039,0.000522039
45,12516.3,0.62381,0.41738,0.00835,0.94333,0.96743,0.98117,0.86344,0.57103,0.32518,0.01193,0.00051304,0.00051304,0.00051304
46,12781.8,0.58653,0.4175,0.00802,0.96809,0.9519,0.98395,0.87044,0.55421,0.30073,0.01146,0.00050404,0.00050404,0.00050404
47,13047,0.60934,0.40542,0.0082,0.95266,0.95726,0.98132,0.87373,0.52128,0.30934,0.01048,0.000495041,0.000495041,0.000495041
48,13312.1,0.5755,0.3996,0.00784,0.95697,0.94866,0.97888,0.86328,0.54135,0.33145,0.01127,0.000486042,0.000486042,0.000486042
49,13576.3,0.5804,0.38762,0.00785,0.96753,0.94959,0.97921,0.87394,0.52736,0.31576,0.01075,0.000477043,0.000477043,0.000477043
50,13841.6,0.59192,0.4006,0.00822,0.95061,0.97064,0.98172,0.86804,0.54681,0.32039,0.01123,0.000468044,0.000468044,0.000468044
51,14106,0.58597,0.39395,0.00834,0.94477,0.95718,0.97634,0.85618,0.56371,0.3394,0.01166,0.000459045,0.000459045,0.000459045
52,14372.3,0.58564,0.40101,0.00792,0.94204,0.96205,0.98145,0.86312,0.55778,0.31619,0.01187,0.000450046,0.000450046,0.000450046
53,14639.1,0.57119,0.36962,0.00756,0.95142,0.94525,0.97895,0.87407,0.52502,0.31916,0.01067,0.000441047,0.000441047,0.000441047
54,14906.2,0.5771,0.38498,0.00803,0.95089,0.96534,0.98033,0.86764,0.565,0.32005,0.01188,0.000432048,0.000432048,0.000432048
55,15172.1,0.58092,0.38602,0.00805,0.95028,0.95132,0.98253,0.87446,0.53765,0.31541,0.01088,0.000423049,0.000423049,0.000423049
56,15438.1,0.58201,0.38776,0.00783,0.9497,0.96409,0.98234,0.88334,0.52751,0.30542,0.01068,0.000414049,0.000414049,0.000414049
57,15702.5,0.58829,0.37542,0.00778,0.95821,0.9657,0.97835,0.86384,0.55576,0.31661,0.01147,0.00040505,0.00040505,0.00040505
58,15967,0.54777,0.37537,0.0075,0.93688,0.95523,0.96925,0.86902,0.52306,0.34459,0.01051,0.000396051,0.000396051,0.000396051
59,16234.1,0.56113,0.35541,0.00786,0.9566,0.96815,0.97793,0.855,0.57668,0.31243,0.01182,0.000387052,0.000387052,0.000387052
60,16500.5,0.56545,0.3656,0.00783,0.94249,0.95621,0.97776,0.87927,0.51738,0.3107,0.01026,0.000378053,0.000378053,0.000378053
61,16766,0.56091,0.34731,0.00753,0.95896,0.96369,0.98332,0.87807,0.52835,0.28792,0.0107,0.000369054,0.000369054,0.000369054
62,17031.9,0.54867,0.34184,0.00725,0.96989,0.95421,0.98188,0.88194,0.52189,0.29271,0.01076,0.000360055,0.000360055,0.000360055
63,17297.1,0.54221,0.34678,0.00742,0.9566,0.96163,0.97961,0.86512,0.52902,0.30038,0.01026,0.000351056,0.000351056,0.000351056
64,17563,0.55706,0.34461,0.00746,0.96472,0.95429,0.98327,0.88131,0.52381,0.27916,0.01029,0.000342057,0.000342057,0.000342057
65,17828.3,0.55044,0.34655,0.00747,0.96761,0.94606,0.98243,0.87954,0.51205,0.29868,0.01005,0.000333058,0.000333058,0.000333058
66,18094.1,0.53523,0.32338,0.0073,0.95403,0.9413,0.97299,0.86874,0.51897,0.33905,0.01039,0.000324058,0.000324058,0.000324058
67,18360.5,0.53249,0.32412,0.00707,0.96001,0.96083,0.98004,0.87942,0.50665,0.3008,0.00985,0.000315059,0.000315059,0.000315059
68,18627.3,0.52955,0.33954,0.00731,0.95793,0.94967,0.97492,0.87573,0.50194,0.30863,0.00995,0.00030606,0.00030606,0.00030606
69,18891.4,0.55532,0.36321,0.00747,0.97338,0.94656,0.97819,0.87694,0.50444,0.29391,0.00994,0.000297061,0.000297061,0.000297061
70,19155.1,0.51828,0.32102,0.00707,0.95979,0.93794,0.97227,0.87568,0.50673,0.31647,0.01005,0.000288062,0.000288062,0.000288062
71,19420.5,0.51759,0.30482,0.00705,0.96257,0.94416,0.9743,0.87597,0.51075,0.30807,0.01017,0.000279063,0.000279063,0.000279063
72,19684.3,0.52005,0.32651,0.00686,0.9704,0.94766,0.97585,0.86794,0.51608,0.32069,0.01018,0.000270064,0.000270064,0.000270064
73,19950,0.52238,0.33163,0.00719,0.94541,0.95794,0.97242,0.87041,0.51921,0.32092,0.01051,0.000261065,0.000261065,0.000261065
74,20213,0.50455,0.32379,0.00735,0.9487,0.94483,0.97073,0.86891,0.52313,0.33044,0.01055,0.000252066,0.000252066,0.000252066
75,20479.1,0.50684,0.30384,0.00677,0.96599,0.9244,0.97283,0.87808,0.50459,0.31927,0.01001,0.000243067,0.000243067,0.000243067
76,20744.2,0.5116,0.31999,0.00638,0.94396,0.95908,0.97667,0.87813,0.51688,0.30682,0.01023,0.000234068,0.000234068,0.000234068
